ID,PAGO ERICK,Family Case Number,"	
Número de caso",Estado del Caso,Cantidad de Postes,Nombre de empresa / Cliente,Comuna,Fecha 1ra. Inspección,Fecha que se asignó,Fecha de inspección,TIENE PLANO?,X,Y,RESULTADO (ERICK),Observación TERRENO,INSPECTOR,E. DE P.
22,OK,93984,103985,In Progress,5,Empresa Nacional de Telecomunicaciones S.A,Las Condes,2024-04-01 00:00:00,2024-05-30 00:00:00,2024-05-30 00:00:00,SI,POST OBRA,,RECHAZADO,"SN RESERVA TÉCNICA FUERA DE NORMA ESCOMBTO AÉREO 
30959 ESCOMBRO AEREO CRUCETAS SIN APOYO EN POSTE 
30985 CRUCETA EN MAL ESTADO 
SITUACIONES NO CORREGIDAS EN TERRENO A LA HORA DE ANALIZAR POST OBRA 
CSV NO COINCIDE  CON INSTALACIONES SOLICITADAS EN PLANO DE PROYECTO",ERICK SANDOVAL,1
23,OK,89231,104000,In Progress,54,Ufinet Chile SPA,Maipú,2024-03-26 00:00:00,2024-06-03 00:00:00,2024-06-03 00:00:00,SI,POST OBRA,,APROBADO,"EMPRESA UFINET NO REALIZA INSTALACIÓN SOLICITADA EN TERRENO CUANDO FACTIBILIDAD HABÍA SIDO RECHAZADA 
EN RUTA SE ENCUENTRAN CRUTEAS ENTEL 
CRUCETAS NARANJAS, VERDES Y AMARILLO , VERDES Y NARANJAS EVIDENTEMENTE NUEVAS 
EMPRESAS QUE SE MENCIONA SOLO  COLOR NO MANTIENEN REGISTROS SOLICITANDO ALGUNA REGULARIZACIÓN DE INSTALACIONES CON ENEL",ERICK SANDOVAL,2
24,OK,97130,103990,In Progress,4,Empresa Nacional de Telecomunicaciones S.A,Maipú,2024-03-27 00:00:00,2024-06-03 00:00:00,2024-06-03 00:00:00,SI,POST OBRA,,APROBADO,EN RUTA SE ENCUENTRAN INSTALACIONES BAJO NORMATIVA PROYECTO DE FACTIBILIDAD APROBADO,ERICK SANDOVAL,2
25,OK,93840,105112,In Progress,6,Empresa Nacional de Telecomunicaciones S.A,Quilicura,2024-03-27 00:00:00,2024-06-05 00:00:00,2024-06-05 00:00:00,SI,POST OBRA,,RECHAZADO,"PROYECTO DE FACTIBILIDAD RECHAZADO Y EN RUTA SE ENCUENTRAN INDICIOS DE INSTALACIONES REALIZADAS, SI BIEN INSTALACIONES SE ENCUENTRAN BAJO NORMATIVA SE GENERARON BAJO UN CONTEXTO DE SATURACION, SIN RETIRO DE ESCOMBRO AÉREO EN EL SECTOR",ERICK SANDOVAL,2
26,OK,94899,103992,In Progress,6,Empresa Nacional de Telecomunicaciones S.A,Renca,2024-03-28 00:00:00,2024-06-03 00:00:00,2024-06-03 00:00:00,INCOMPLETO,POST OBRA,,RECHAZADO,SIN RETIRO DE ESCOMBRO AÉREO,ERICK SANDOVAL,2
27,OK,96599,103995,In Progress,4,Empresa Nacional de Telecomunicaciones S.A,Vitacura,2024-03-27 00:00:00,2024-05-30 00:00:00,2024-05-31 00:00:00,INCOMPLETO,POST OBRA,,APROBADO,"EN RUTA NO SE ENCUENTRAN INDICIOS DE TRABAJOS SOLICITADOS, INFORMACIÓN SE CSV NO COINCIDE CON INFORMACIÓN DE PLANO ",ERICK SANDOVAL,1
28,OK,92235,92728,In Progress,4,Empresa Nacional de Telecomunicaciones S.A,Cerrillos,2024-04-04 00:00:00,2024-06-03 00:00:00,2024-06-03 00:00:00,SI,POST OBRA,,APROBADO,"EN RUTA NO SE ENCUENTRAN INDICIOS DE TRABAJOS SOLICITADOS EN PLANO, CSV DE PROYECTO NO COINCIDE CON PLANO DEL MISMO ",ERICK SANDOVAL,2
29,OK,92840,93334,In Progress,4,Empresa Nacional de Telecomunicaciones S.A,Colina,2024-04-04 00:00:00,2024-05-31 00:00:00,2024-05-31 00:00:00,SI,POST OBRA,,APROBADO,EN TERRENO SE ENCUENTRAN INSTALACIONES BAJO NORMATIVA,ERICK SANDOVAL,1
30,OK,102639,103884,In Progress,13,Empresa Nacional de Telecomunicaciones S.A,Colina,2024-04-04 00:00:00,2024-05-31 00:00:00,2024-06-03 00:00:00,SI,POST OBRA,,RECHAZADO,"FACTIBILIDAD RECHAZADA Y EN TERRENO SE ENCUENTRAN INDICIOS DE NUEVAS INSTALACIONES EN TERRENO, TRABAJO REALIZADO EN EL MISMO NO COINCIDE CON CSV DE PROYECTO SOLICITADO",ERICK SANDOVAL,2
31,OK,92853,93335,New Feasibility opened,4,Empresa Nacional de Telecomunicaciones S.A,Conchalí,2024-04-04 00:00:00,2024-06-05 00:00:00,2024-06-05 00:00:00,SI,POST OBRA,,RECHAZADO,POSTE 323744 SIN APOYO DE EMPRESA ENTEL. SE ENTIENDE QUE TRABAJOS NO HAN SIDO REALIZADOS EN TERRENO,ERICK SANDOVAL,2
